code,name,theme,tau_score,ai_compute_score,ascend_supernode_score,domestic_substitution_score,advanced_material_score,packaging_score
000001.SZ,平安银行,国产替代,0.41,0.12,0.08,0.72,0.10,0.09
000977.SZ,浪潮信息,AI算力,0.68,0.91,0.42,0.28,0.18,0.16
002230.SZ,科大讯飞,AI算力,0.66,0.88,0.35,0.30,0.14,0.12
002371.SZ,北方华创,先进封装,0.60,0.58,0.22,0.55,0.76,0.82
300308.SZ,中际旭创,AI算力,0.74,0.84,0.26,0.24,0.20,0.18
600703.SH,三安光电,先进封装,0.52,0.33,0.21,0.48,0.71,0.69
603595.SH,东尼电子,华为昇腾超节点,0.57,0.29,0.81,0.51,0.27,0.25
600460.SH,士兰微,国产替代,0.49,0.22,0.19,0.77,0.36,0.31
688234.SH,天岳先进,人造金刚石,0.55,0.18,0.12,0.43,0.83,0.21
688041.SH,海光信息,华为昇腾超节点,0.71,0.73,0.78,0.46,0.25,0.19
